,X,Channel,Activity,Genotype,Sex,Age,Rep
217,858,adj_Monitor45_ch28,1331.4,KO,F,W0,R3
218,627,adj_Monitor34_ch16,1330.6,KO,M,W0,R1
219,11,adj_Monitor10_ch2,1330.2,Y160C,F,W0,R4
220,281,adj_Monitor20_ch9,1329.6,Y160C,M,W0,R1
221,955,adj_Monitor5_ch3,1329.2,WG2,F,W0,R2
222,359,adj_Monitor24_ch22,1328.4,WG2,F,W0,R1
223,485,adj_Monitor2_ch27,1324.8,WG2,M,W0,R2
224,168,adj_Monitor18_ch18,1322.6,KO,F,W0,R2
225,659,adj_Monitor35_ch17,1322.2,KO,M,W0,R3
226,142,adj_Monitor16_ch23,1321.8,WG2,F,W0,R4
227,481,adj_Monitor2_ch23,1319.8,WG2,M,W0,R2
228,342,adj_Monitor22_ch6,1318.6,KO,F,W0,R1
229,347,adj_Monitor24_ch11,1318,WG2,F,W0,R1
230,651,adj_Monitor35_ch1,1316.8,KO,M,W0,R3
231,8,adj_Monitor10_ch17,1316,Y160C,F,W0,R4
232,112,adj_Monitor15_ch25,1314.8,Y160C,F,W0,R2
233,393,adj_Monitor26_ch25,1314.4,WG2,F,W0,R3
234,18,adj_Monitor10_ch26,1313.4,Y160C,F,W0,R4
235,864,adj_Monitor45_ch4,1311.2,KO,F,W0,R3
236,146,adj_Monitor16_ch27,1311,WG2,F,W0,R4
237,475,adj_Monitor2_ch18,1309.4,WG2,M,W0,R2
238,464,adj_Monitor28_ch7,1306.2,W422X,M,W0,R1
239,791,adj_Monitor41_ch24,1305.6,Y160C,M,W0,R4
240,213,adj_Monitor19_ch32,1305,KO,M,W0,R2
241,360,adj_Monitor24_ch23,1304.6,WG2,F,W0,R1
242,867,adj_Monitor45_ch7,1302,KO,F,W0,R3
243,621,adj_Monitor34_ch1,1301.2,KO,M,W0,R1
244,207,adj_Monitor19_ch27,1300,KO,M,W0,R2
245,409,adj_Monitor27_ch10,1297.6,WG2,M,W0,R4
246,188,adj_Monitor18_ch7,1294.8,KO,F,W0,R2
247,167,adj_Monitor18_ch17,1294,KO,F,W0,R2
248,700,adj_Monitor38_ch27,1293,KO,M,W0,R4
249,162,adj_Monitor18_ch12,1292.4,KO,F,W0,R2
250,697,adj_Monitor38_ch24,1291,KO,M,W0,R4
251,14,adj_Monitor10_ch22,1289.8,Y160C,F,W0,R4
252,649,adj_Monitor34_ch8,1288.8,KO,M,W0,R1
253,506,adj_Monitor30_ch17,1286.4,Y160C,F,W0,R1
254,200,adj_Monitor19_ch20,1286,KO,M,W0,R2
255,102,adj_Monitor15_ch16,1285.8,Y160C,F,W0,R2
256,945,adj_Monitor5_ch20,1284.6,WG2,F,W0,R2
257,231,adj_Monitor1_ch2,1283.8,Y160C,F,W0,R3
258,939,adj_Monitor5_ch14,1282.8,WG2,F,W0,R2
259,899,adj_Monitor49_ch7,1282.6,Y160C,M,W0,R2
260,757,adj_Monitor3_ch22,1282.4,W422X,M,W0,R3
261,732,adj_Monitor39_ch29,1282.4,W422X,M,W0,R2
262,334,adj_Monitor22_ch28,1282.4,KO,F,W0,R1
263,223,adj_Monitor1_ch12,1281.4,Y160C,F,W0,R3
264,323,adj_Monitor22_ch18,1280.8,KO,F,W0,R1
265,33,adj_Monitor11_ch11,1280.8,W422X,F,W0,R4
266,490,adj_Monitor2_ch31,1280.6,WG2,M,W0,R2
267,155,adj_Monitor16_ch6,1280.6,WG2,F,W0,R4
268,396,adj_Monitor26_ch28,1279.4,WG2,F,W0,R3
269,290,adj_Monitor21_ch17,1279.2,WG2,M,W0,R3
270,500,adj_Monitor30_ch11,1278.8,Y160C,F,W0,R1
271,696,adj_Monitor38_ch23,1276.6,KO,M,W0,R4
